"Game","Date","1","2","3","4","5","6","Additional number","some_1","Some_2"
"2426","24/11/12","8","11","25","30","31","33","7","0","0"
"2425","20/11/12","4","5","21","30","36","37","5","0","0"
"2424","17/11/12","2","12","13","16","23","25","1","0","0"
"2423","13/11/12","6","8","14","25","26","31","1","1","0"
"2422","10/11/12","12","15","24","26","31","33","1","0","0"
"2421","06/11/12","11","19","21","22","26","30","4","1","0"
"2420","03/11/12","1","8","10","12","16","26","6","0","0"
"2419","01/11/12","2","7","10","11","29","32","5","0","0"
"2418","30/10/12","5","7","14","15","16","35","7","0","0"
"2417","27/10/12","3","9","15","24","30","35","7","0","0"
"2416","23/10/12","1","3","7","18","28","34","7","0","0"
"2415","20/10/12","6","17","22","24","26","31","6","0","0"
"2414","18/10/12","2","3","6","20","21","30","2","0","0"
"2413","16/10/12","7","10","11","19","23","25","6","0","0"
"2412","13/10/12","3","9","14","19","27","31","6","1","0"
"2411","09/10/12","2","4","7","24","32","36","1","1","0"
"2410","06/10/12","2","8","16","23","29","36","3","0","0"
"2409","02/10/12","1","8","20","21","33","37","2","0","0"
"2408","29/09/12","4","8","27","30","34","36","6","0","0"
"2407","27/09/12","2","12","20","22","24","32","5","0","1"
"2406","22/09/12","12","13","16","18","35","37","5","0","0"
"2405","20/09/12","11","19","22","23","25","36","5","0","0"
"2404","15/09/12","2","6","12","16","21","26","5","0","0"
"2403","11/09/12","3","5","10","11","12","21","3","0","0"
"2402","08/09/12","8","23","26","31","34","35","5","0","0"
"2401","06/09/12","9","13","21","22","24","31","1","0","0"
"2400","04/09/12","3","7","15","29","31","34","7","0","1"
"2399","01/09/12","2","3","18","20","26","35","2","0","0"
"2398","28/08/12","2","6","19","29","36","37","7","0","0"
"2397","25/08/12","7","11","26","27","28","34","6","0","0"
"2396","21/08/12","6","7","17","18","25","35","4","0","0"
"2395","18/08/12","4","12","16","21","26","30","6","0","0"
"2394","14/08/12","5","8","25","29","30","31","4","0","0"
"2393","11/08/12","9","16","21","24","26","33","7","0","0"
"2392","07/08/12","1","15","21","23","26","36","3","0","2"
"2391","04/08/12","4","12","19","23","27","31","1","0","0"
"2390","02/08/12","3","8","30","34","35","36","7","0","0"
"2389","31/07/12","1","5","11","18","26","30","3","1","0"
"2388","27/07/12","3","15","26","27","36","37","5","0","0"
"2387","24/07/12","1","11","21","25","26","31","4","0","0"
"2386","21/07/12","4","8","21","22","24","29","1","0","0"
"2385","17/07/12","9","15","25","26","28","32","3","0","0"
"2384","14/07/12","2","11","12","18","24","26","5","0","0"
"2383","10/07/12","7","20","23","24","25","36","7","0","0"
"2382","07/07/12","4","8","14","21","27","37","3","0","0"
"2381","05/07/12","5","8","11","21","35","37","6","0","0"
"2380","03/07/12","9","15","25","30","32","33","7","0","0"
"2379","30/06/12","3","8","9","10","16","36","6","0","0"
"2378","26/06/12","1","2","14","15","28","31","2","1","0"
"2377","23/06/12","10","12","18","21","25","35","2","0","0"
"2376","21/06/12","6","7","11","30","33","35","3","0","0"
"2375","19/06/12","2","5","14","21","36","37","3","0","0"
"2374","16/06/12","1","2","3","16","28","30","3","0","0"
"2373","12/06/12","5","7","11","24","26","30","1","0","0"
"2372","09/06/12","1","6","25","29","33","34","2","0","0"
"2371","07/06/12","5","10","12","20","22","31","1","0","0"
"2370","05/06/12","7","21","26","31","32","35","6","0","0"
"2369","02/06/12","2","8","12","17","21","24","3","1","0"
"2368","29/05/12","3","8","10","23","24","34","3","0","0"
"2367","27/05/12","14","19","30","34","35","36","4","0","1"
"2366","22/05/12","9","11","21","25","26","32","6","1","0"
"2365","19/05/12","5","6","7","16","23","36","1","0","0"
"2364","15/05/12","4","5","18","23","32","36","4","0","0"
"2363","12/05/12","1","2","3","14","23","29","7","0","0"
"2362","08/05/12","2","21","22","23","28","30","4","0","0"
